id,truckstop_id,truckstop_name,address,city,state,rack_id,retail_price,latitude,longitude
1839,60540,CIRCLE K #2706340,"I-20, EXIT 533",Canton,TX,630,2.776,32.5386046,-95.861812
1841,60554,CEFCO #2070,"I-27, EXIT 49",Plainview,TX,700,2.832,34.1847936,-101.706841
1842,60565,CEFCO #2006,"I-40, EXIT 163",Shamrock,TX,585,3.099,35.2142167,-100.249007
1844,60587,BJS AUTO TRUCK PLAZA,SR-28,Rock Island,WA,970,4.099,47.3770731,-120.143952
1846,60589,RIVER COUNTRY PLAZA,"SR-29, EXIT 91",Cadott,WI,295,3.397,44.9480187,-91.1507031
1847,60590,DARLINGTON MINI MART,SR-23 & SR-81,Darlington,WI,420,3.399,42.6802288,-90.1178079
1848,60601,HOLIDAY STATIONSTORE #2746229,US-53/US-2,Superior,WI,545,3.339,46.734478,-92.095837
1849,60635,EXXON ON THE RUN,US-62/US-412 & SR-126,Gassville                               ,AR,535,3.695,36.2866601,-92.5047484
1850,60650,SHELL DBA ONE9 #1244,"I-8, EXIT 115",Gila Bend,AZ,930,3.259,32.9476184,-112.7144993
1852,60700,PWI #502,"I-70/US-40, EXIT 259",Golden,CO,800,3.199,39.7546349,-105.22058
1853,60707,REATA TRAVEL STOP,"I-76, EXIT 125",Sterling,CO,800,3.399,40.6255415,-103.207709
1854,60708,CRVS STORE #6,US-385,Wray,CO,800,3.449,40.0876603,-102.2286552
1855,60762,BP,US-1 & US-341,Baxley,GA,195,3.599,31.7773202,-82.3490533
1857,60773,NEIGHBORS EXPRESS,US-341/SR-27 & US-129 ALT/SR-340,Hawkinsville,GA,20,3.399,32.2835422,-83.4667907
1858,60779,Marathon,US-129,Eatonton                                ,GA,85,3.399,33.296992,-83.384994
1859,60781,JP PERRY,"I-75, EXIT 138",Perry                                   ,GA,85,3.082,32.4586695,-83.7319658
